player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Richarlison,FW,Brazil,25-211,1997,2.7,1,1,0,0,1,0,0,,0,4,0,4,1,2,3,0
Richie Laryea,DF,Canada,27-334,1995,1.8,3,1,1,2,0,2,2,100.0,0,2,1,1,0,3,3,0
Riley McGree,FW,Australia,24-035,1998,2.9,2,1,1,0,1,0,1,0.0,1,5,0,5,5,7,3,0
Ritsu Doan,FW,Japan,24-174,1998,2.4,6,5,1,4,1,1,3,33.3,2,4,1,3,3,9,2,0
Riyadh Sharahili,MF,Saudi Arabia,29-223,1993,0.6,0,0,0,0,0,0,0,,0,1,1,0,2,2,4,0
Roan Wilson,MF,Costa Rica,20-220,2002,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Robert Lewandowski,FW,Poland,34-108,1988,4.0,2,2,0,2,0,0,3,0.0,3,3,1,2,1,3,8,0
Robert Skov,DF,Denmark,26-201,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Roberto Alvarado,FW,Mexico,24-091,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rodri,DF,Spain,26-168,1996,4.3,5,2,3,1,1,2,2,100.0,0,3,2,1,3,8,9,0
Rodrigo Bentancur,MF,Uruguay,25-165,1997,2.4,9,8,4,4,1,3,3,100.0,0,3,0,3,7,16,5,0
Rodrigo De Paul,MF,Argentina,28-197,1994,4.0,6,4,3,3,0,3,4,75.0,1,7,0,7,6,12,1,0
Rodrygo,MF,Brazil,21-332,2001,1.4,3,1,0,1,2,0,3,0.0,3,4,0,4,2,5,1,0
Rogelio Funes Mori,FW,Mexico,31-277,1991,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Romain Saïss,DF,Morocco,32-256,1990,4.3,5,2,2,2,1,2,5,40.0,3,3,1,2,3,8,29,0
Romario Ibarra,MF,Ecuador,28-074,1994,0.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0
Romelu Lukaku,FW,Belgium,29-208,1993,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Roozbeh Cheshmi,DF,IR Iran,29-136,1993,0.6,0,0,0,0,0,0,0,,0,1,1,0,2,2,3,0
Ruben Vargas,FW,Switzerland,24-124,1998,3.2,0,0,0,0,0,0,0,,0,2,0,2,1,1,4,0
Rubin Colwill,MF,Wales,20-224,2002,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Ró-Ró,DF,Qatar,32-123,1990,2.9,6,4,3,2,1,1,2,50.0,1,2,0,2,8,14,3,0
Rónald Matarrita,DF,Costa Rica,28-151,1994,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Rúben Dias,DF,Portugal,25-207,1997,3.0,2,2,2,0,0,0,1,0.0,1,2,0,2,1,3,9,0
Rúben Neves,MF,Portugal,25-269,1997,2.4,2,1,0,0,2,0,4,0.0,4,3,1,2,1,3,5,0
Saad Al Sheeb,GK,Qatar,32-291,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sadegh Moharrami,DF,IR Iran,26-281,1996,1.0,1,1,0,1,0,0,2,0.0,2,1,0,1,1,2,3,0
Saeid Ezatolahi,MF,IR Iran,26-067,1996,2.4,6,1,1,3,2,2,8,25.0,6,3,0,3,2,8,4,0
Saleh Al-Shehri,FW,Saudi Arabia,29-036,1993,2.5,3,1,0,1,2,0,1,0.0,1,3,1,2,0,3,2,0
Salem Al-Dawsari,MF,Saudi Arabia,31-110,1991,3.0,5,4,3,2,0,1,2,50.0,1,1,0,1,1,6,2,0
Salis Abdul Samed,MF,Ghana,22-256,2000,2.8,2,2,0,2,0,0,1,0.0,1,2,1,1,4,6,8,0
Salman Al-Faraj,MF,Saudi Arabia,33-128,1989,0.5,1,0,0,1,0,0,1,0.0,1,2,0,2,0,1,0,0
Sam Adekugbe,DF,Canada,27-325,1995,1.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
