player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Ahmad Nourollahi,MF,IR Iran,29-308,1993,2.5,4,3,1,1,2,1,2,50.0,1,3,0,3,6,10,8,0
Ahmed Alaaeldin,FW,Qatar,29-310,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25-313,1997,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Ajdin Hrustic,MF,Australia,26-155,1996,0.7,2,0,1,1,0,1,1,100.0,0,0,0,0,1,3,1,0
Akram Afif,FW,Qatar,26-019,1996,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Alan Franco,MF,Ecuador,24-108,1998,0.5,1,0,0,1,0,0,1,0.0,1,0,0,0,2,3,1,0
Alejandro Balde,DF,Spain,19-050,2003,1.4,6,6,2,2,2,2,2,100.0,0,2,0,2,0,6,2,0
Aleksandar Mitrović,FW,Serbia,28-082,1994,2.9,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,1,0
Alex Sandro,DF,Brazil,31-315,1991,1.9,8,3,6,2,0,2,2,100.0,0,1,0,1,3,11,8,0
Alex Telles,DF,Brazil,29-357,1992,0.7,2,2,0,1,1,1,1,100.0,0,0,0,0,0,2,1,0
Alexander Bah,DF,Denmark,24-363,1997,0.5,4,4,2,1,1,2,3,66.7,1,2,0,2,2,6,0,0
Alexander Djiku,DF,Ghana,28-120,1994,1.1,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,9,0
Alexis Mac Allister,MF,Argentina,23-348,1998,2.6,6,2,2,4,0,4,4,100.0,0,3,0,3,2,8,0,0
Alexis Vega,FW,Mexico,25-012,1997,2.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0
Ali Abdi,DF,Tunisia,28-352,1993,2.1,8,5,5,2,1,3,3,100.0,0,1,0,1,4,12,13,1
Ali Al Hassan,MF,Saudi Arabia,25-278,1997,0.5,2,1,0,2,0,1,1,100.0,0,2,1,1,0,2,1,0
Ali Al-Bulaihi,DF,Saudi Arabia,33-016,1989,2.4,4,2,2,2,0,2,4,50.0,2,1,1,0,3,7,1,0
Ali Assadalla,MF,Qatar,29-322,1993,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Ali Gholizadeh,MF,IR Iran,26-272,1996,2.2,0,0,0,0,0,0,2,0.0,2,5,0,5,3,3,2,0
Ali Karimi,MF,IR Iran,28-299,1994,1.1,3,3,3,0,0,1,2,50.0,1,0,0,0,3,6,1,0
Ali Maâloul,DF,Tunisia,32-340,1990,1.0,1,1,0,1,0,1,1,100.0,0,2,0,2,0,1,4,0
Alidu Seidu,DF,Ghana,22-186,2000,1.7,6,4,5,1,0,2,2,100.0,0,5,0,5,0,6,3,0
Alireza Beiranvand,GK,IR Iran,30-077,1992,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Alireza Jahanbakhsh,MF,IR Iran,29-118,1993,0.7,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,0,0
Alisson,GK,Brazil,30-066,1992,2.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Alistair Johnston,DF,Canada,24-060,1998,3.0,5,3,5,0,0,2,7,28.6,5,6,1,5,2,7,4,0
Almoez Ali,FW,Qatar,26-110,1996,2.5,1,0,0,0,1,0,2,0.0,2,0,0,0,1,2,1,0
Alphonso Davies,MF,Canada,22-035,2000,3.0,2,1,0,1,1,0,1,0.0,1,5,0,5,3,5,1,0
Amadou Onana,MF,Belgium,21-113,2001,1.2,4,1,2,2,0,1,2,50.0,1,1,0,1,0,4,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-021,1995,2.9,4,0,3,0,1,1,3,33.3,2,2,0,2,5,9,2,0
Andreas Christensen,DF,Denmark,26-241,1996,3.0,4,2,1,3,0,2,2,100.0,0,7,5,2,4,8,9,0
Andreas Cornelius,FW,Denmark,29-266,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Andreas Skov Olsen,FW,Denmark,22-343,1999,1.5,0,0,0,0,0,0,1,0.0,1,3,1,2,1,1,0,0
Andrej Kramarić,FW,Croatia,31-171,1991,3.0,2,1,0,0,2,0,1,0.0,1,1,0,1,0,2,0,0
Andries Noppert,GK,Netherlands,28-244,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Andrija Živković,DF,Serbia,26-149,1996,2.3,5,3,2,2,1,2,3,66.7,1,5,0,5,3,8,3,0
André Ayew,MF,Ghana,32-355,1989,2.2,4,1,0,4,0,1,2,50.0,1,1,0,1,0,4,3,0
André Onana,GK,Cameroon,26-249,1996,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
André Silva,FW,Portugal,27-031,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Andrés Guardado,MF,Mexico,36-070,1986,0.5,4,2,0,4,0,2,3,66.7,1,0,0,0,0,4,1,0
Anis Ben Slimane,MF,Tunisia,21-266,2001,1.6,3,1,2,1,0,0,0,,0,2,0,2,1,4,1,0
Ansu Fati,FW,Spain,20-037,2002,0.5,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Ante Budimir,FW,Croatia,31-138,1991,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Anthony Contreras,FW,Costa Rica,22-312,2000,1.4,5,2,3,2,0,1,1,100.0,0,0,0,0,1,6,0,0
Antoine Griezmann,MF,France,31-261,1991,3.2,7,5,4,3,0,2,3,66.7,1,5,2,3,4,11,2,0
Antoine Semenyo,FW,Ghana,22-334,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Antonee Robinson,DF,United States,25-121,1997,4.0,5,4,5,0,0,3,7,42.9,4,3,0,3,7,12,8,0
Antonio Rüdiger,DF,Germany,29-279,1993,3.0,2,1,1,1,0,0,0,,0,3,2,1,0,2,5,1
Antony,FW,Brazil,22-286,2000,1.2,3,0,2,0,1,1,2,50.0,1,2,0,2,0,3,0,0
António Silva,DF,Portugal,19-038,2003,1.0,1,1,0,1,0,1,2,50.0,1,2,1,1,1,2,1,0
Ao Tanaka,MF,Japan,24-088,1998,1.9,3,1,3,0,0,1,1,100.0,0,5,1,4,3,6,2,0
Ardon Jasari,FW,Switzerland,20-130,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Arkadiusz Milik,FW,Poland,28-282,1994,1.1,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Artur Jędrzejczyk,DF,Poland,35-033,1987,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Asiri Haitham,FW,Saudi Arabia,21-257,2001,0.0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0
Assim Madibo,MF,Qatar,26-046,1996,1.7,6,3,3,3,0,1,5,20.0,4,6,1,5,2,8,0,0
Atiba Hutchinson,MF,Canada,39-302,1983,1.8,4,1,4,0,0,2,2,100.0,0,3,0,3,1,5,3,0
Aurélien Tchouaméni,MF,France,22-314,2000,3.6,8,1,2,5,1,2,4,50.0,2,2,1,1,8,16,1,0
Awer Mabil,MF,Australia,27-083,1995,0.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Axel Disasi,DF,France,24-271,1998,1.0,3,2,1,2,0,0,2,0.0,2,0,0,0,3,6,4,0
Axel Witsel,MF,Belgium,33-329,1989,3.0,4,2,1,3,0,1,1,100.0,0,5,1,4,4,8,6,0
Ayase Ueda,FW,Japan,24-088,1998,0.5,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,2,0
Aymeric Laporte,DF,Spain,28-194,1994,3.3,2,0,2,0,0,1,1,100.0,0,0,0,0,3,5,7,0
Aziz Behich,DF,Australia,31-356,1990,4.0,8,3,5,3,0,5,6,83.3,1,6,2,4,3,11,12,0
Azzedine Ounahi,MF,Morocco,22-232,2000,3.9,8,7,4,4,0,6,8,75.0,2,4,1,3,4,12,0,0
Aïssa Laïdouni,MF,Tunisia,25-359,1996,2.7,3,3,3,0,0,1,2,50.0,1,7,1,6,4,7,6,0
Baba Rahman,DF,Ghana,28-158,1994,2.0,5,3,1,2,2,3,3,100.0,0,1,0,1,1,6,3,1
Badr Banoun,DF,Morocco,29-068,1993,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bailey Wright,DF,Australia,30-132,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Bamba Dieng,FW,Senegal,22-259,2000,1.1,2,1,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0
Bartosz Bereszyński,DF,Poland,30-148,1992,3.8,6,2,6,0,0,3,6,50.0,3,4,1,3,2,8,17,0
Bassam Al-Rawi,DF,Qatar,24-356,1997,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0
Ben Davies,DF,Wales,29-227,1993,2.6,4,2,0,2,2,2,2,100.0,0,4,2,2,1,5,8,1
Benjamin Pavard,DF,France,26-254,1996,1.0,0,0,0,0,0,0,0,,0,3,0,3,1,1,0,0
Bernardo Silva,MF,Portugal,28-119,1994,3.0,1,1,0,1,0,0,0,,0,3,0,3,1,2,0,0
Borna Barišić,DF,Croatia,30-027,1992,1.3,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,4,0
Borna Sosa,DF,Croatia,24-320,1998,3.0,7,3,5,1,1,6,7,85.7,1,2,0,2,2,9,13,0
Boualem Khoukhi,DF,Qatar,32-151,1990,3.0,2,2,2,0,0,1,2,50.0,1,6,2,4,3,5,18,1
Boulaye Dia,FW,Senegal,26-021,1996,3.5,1,0,0,1,0,0,0,,0,1,0,1,1,2,3,0
Brandon Aguilera,MF,Costa Rica,19-162,2003,1.0,2,0,2,0,0,2,4,50.0,2,1,0,1,1,3,0,0
Breel Embolo,FW,Switzerland,25-296,1997,3.6,1,0,0,0,1,1,2,50.0,1,2,0,2,0,1,1,0
Brenden Aaronson,MF,United States,22-046,2000,1.2,3,2,1,1,1,0,0,,0,5,0,5,1,4,0,0
Brennan Johnson,FW,Wales,21-198,2001,1.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0
Bruno Fernandes,FW,Portugal,28-090,1994,3.0,3,2,2,1,0,0,1,0.0,1,6,1,5,1,4,4,0
Bruno Guimarães,MF,Brazil,25-021,1997,0.8,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Bruno Petković,FW,Croatia,28-082,1994,1.3,4,2,0,3,1,0,0,,0,0,0,0,0,4,0,0
Bryan Mbeumo,FW,Cameroon,23-122,1999,2.6,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0
Bryan Oviedo,DF,Costa Rica,32-292,1990,2.9,6,5,3,2,1,4,6,66.7,2,3,1,2,3,9,7,0
Bryan Ruiz,MF,Costa Rica,37-111,1985,0.3,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,0,0
Bukayo Saka,FW,England,21-093,2001,2.3,4,3,0,2,2,1,1,100.0,0,4,1,3,2,6,2,0
Callum Wilson,FW,England,30-283,1992,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cameron Carter-Vickers,DF,United States,24-341,1997,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,0
Carlos Gruezo,MF,Ecuador,27-232,1995,0.5,2,2,0,2,0,1,2,50.0,1,0,0,0,0,2,0,0
Carlos Martínez,DF,Costa Rica,23-252,1999,0.5,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,1,0
Carlos Soler,MF,Spain,25-339,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Casemiro,MF,Brazil,30-287,1992,3.0,8,3,3,4,1,3,4,75.0,1,6,2,4,6,14,3,0
Celso Borges,MF,Costa Rica,34-194,1988,2.8,5,1,2,3,0,2,5,40.0,3,8,3,5,4,9,7,0
Charles De Ketelaere,FW,Belgium,21-272,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Charly Rodríguez,MF,Mexico,25-338,1997,0.4,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
Cheikhou Kouyaté,MF,Senegal,32-351,1989,0.8,0,0,0,0,0,0,0,,0,2,1,1,2,2,4,0
Cho Guesung,FW,Korea Republic,24-316,1998,3.1,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,3,0
Cho Yumin,FW,Korea Republic,26-020,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Chris Mepham,DF,Wales,25-032,1997,3.0,8,6,3,5,0,5,6,83.3,1,3,2,1,1,9,16,0
Christian Bassogog,MF,Cameroon,27-050,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Christian Eriksen,MF,Denmark,30-296,1992,3.0,1,0,0,1,0,0,0,,0,5,2,3,0,1,1,0
Christian Fassnacht,FW,Switzerland,29-026,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Christian Nørgaard,MF,Denmark,28-272,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Christian Pulisic,FW,United States,24-080,1998,3.5,2,0,0,0,2,0,1,0.0,1,2,0,2,0,2,1,0
Christopher Wooh,DF,Cameroon,21-080,2001,1.0,1,0,0,1,0,1,2,50.0,1,3,2,1,1,2,6,0
Cody Gakpo,FW,Netherlands,23-214,1999,3.8,6,2,2,2,2,3,3,100.0,0,6,1,5,2,8,5,0
Collins Fai,DF,Cameroon,30-116,1992,3.0,5,2,2,2,1,3,6,50.0,3,2,0,2,4,9,7,0
Connor Roberts,DF,Wales,27-075,1995,2.2,3,3,2,1,0,2,3,66.7,1,2,2,0,1,4,7,0
Craig Goodwin,MF,Australia,30-356,1991,2.6,4,3,1,2,1,2,5,40.0,3,3,0,3,0,4,3,0
Cristian Romero,DF,Argentina,24-224,1998,2.9,2,1,2,0,0,2,3,66.7,1,2,2,0,1,3,8,0
Cristiano Ronaldo,FW,Portugal,37-305,1985,2.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Cyle Larin,FW,Canada,27-234,1995,1.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
César Azpilicueta,DF,Spain,33-101,1989,1.5,1,0,1,0,0,0,0,,0,2,0,2,1,2,0,0
César Montes,DF,Mexico,25-286,1997,3.0,6,3,2,4,0,3,3,100.0,0,0,0,0,2,8,11,0
Daichi Kamada,FW,Japan,26-124,1996,3.6,7,3,2,4,1,3,6,50.0,3,3,0,3,0,7,3,0
Daizen Maeda,FW,Japan,25-048,1997,2.0,3,2,1,2,0,0,1,0.0,1,4,0,4,3,6,0,0
Daley Blind,DF,Netherlands,32-273,1990,4.0,11,7,6,3,2,6,7,85.7,1,6,1,5,3,14,4,0
Damian Szymański,MF,Poland,27-174,1995,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Dani Alves,DF,Brazil,39-215,1983,1.3,5,4,2,2,1,2,5,40.0,3,1,1,0,2,7,2,0
Dani Carvajal,DF,Spain,30-330,1992,1.5,1,1,1,0,0,0,2,0.0,2,0,0,0,2,3,1,0
Dani Olmo,FW,Spain,24-214,1998,4.1,5,3,0,3,2,1,2,50.0,1,5,0,5,1,6,4,0
Daniel Amartey,DF,Ghana,27-351,1994,2.8,6,4,5,1,0,2,2,100.0,0,4,3,1,3,9,12,0
Daniel Chacón,MF,Costa Rica,21-240,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Daniel James,FW,Wales,25-027,1997,1.7,1,1,0,0,1,0,1,0.0,1,2,0,2,0,1,1,0
Daniel Kyereh,MF,Ghana,26-274,1996,0.4,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,4,0
Danilo,DF,Brazil,31-145,1991,1.8,2,0,1,0,1,2,2,100.0,0,1,0,1,1,3,2,1
Danilo Pereira,DF,Portugal,31-089,1991,1.0,2,2,1,1,0,2,2,100.0,0,1,1,0,3,5,3,1
Danny Ward,GK,Wales,29-168,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Darko Lazović,DF,Serbia,32-083,1990,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Darwin Núñez,FW,Uruguay,23-166,1999,2.7,3,2,1,2,0,1,2,50.0,1,2,0,2,0,3,2,0
David Raum,DF,Germany,24-229,1998,2.7,6,3,4,1,1,3,6,50.0,3,10,1,9,7,13,2,0
David Wotherspoon,MF,Canada,32-325,1990,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Davy Klaassen,MF,Netherlands,29-289,1993,2.1,3,2,2,1,0,1,1,100.0,0,2,0,2,1,4,2,0
Dayot Upamecano,DF,France,24-041,1998,3.0,9,6,8,1,0,5,5,100.0,0,3,2,1,5,14,8,0
DeAndre Yedlin,DF,United States,29-151,1993,0.4,2,1,1,1,0,2,2,100.0,0,0,0,0,0,2,2,0
Declan Rice,MF,England,23-327,1999,3.6,3,3,0,2,1,0,0,,0,3,3,0,8,11,4,0
Dejan Lovren,DF,Croatia,33-155,1989,4.3,6,2,4,1,1,2,4,50.0,2,5,5,0,5,11,18,0
Denis Odoi,DF,Ghana,34-194,1988,0.1,1,0,1,0,0,1,1,100.0,0,2,2,0,0,1,2,0
Denis Zakaria,MF,Switzerland,26-017,1996,0.7,0,0,0,0,0,0,0,,0,1,0,1,3,3,1,0
Denzel Dumfries,DF,Netherlands,26-233,1996,4.0,6,3,5,1,0,5,6,83.3,1,5,1,4,7,13,4,0
Devis Epassy,GK,Cameroon,29-308,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Diego Godín,DF,Uruguay,36-294,1986,1.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0
Diogo Costa,GK,Portugal,23-079,1999,4.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,3,0
Diogo Dalot,DF,Portugal,23-264,1999,2.0,7,6,6,1,0,7,7,100.0,0,6,2,4,1,8,1,0
Djibril Sow,MF,Switzerland,25-304,1997,2.9,2,1,0,2,0,0,1,0.0,1,0,0,0,2,4,0,0
Djorkaeff Reasco,FW,Ecuador,23-323,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dominik Livaković,GK,Croatia,27-332,1995,4.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dries Mertens,MF,Belgium,35-215,1987,0.8,2,0,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0
Dušan Tadić,MF,Serbia,34-017,1988,2.9,4,2,0,4,0,2,3,66.7,1,4,1,3,1,5,0,0
Dušan Vlahović,FW,Serbia,22-313,2000,0.9,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Dylan Bronn,DF,Tunisia,27-171,1995,1.8,4,2,1,2,1,3,3,100.0,0,2,1,1,0,4,0,0
Eden Hazard,MF,Belgium,31-334,1991,1.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Ederson,GK,Brazil,29-112,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Edimilson Fernandes,FW,Switzerland,26-236,1996,1.6,2,1,1,0,1,0,1,0.0,1,3,0,3,2,4,3,0
Edinson Cavani,FW,Uruguay,35-296,1987,1.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Edouard Mendy,GK,Senegal,30-281,1992,4.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,1
Edson Álvarez,MF,Mexico,25-044,1997,1.9,3,2,2,1,0,1,3,33.3,2,1,0,1,4,7,2,0
Eduardo Camavinga,DF,France,20-027,2002,1.0,11,6,5,4,2,3,3,100.0,0,2,0,2,3,14,6,0
Ehsan Hajsafi,MF,IR Iran,32-285,1990,2.6,6,3,2,3,1,3,5,60.0,2,3,0,3,2,8,2,0
Ellyes Skhiri,MF,Tunisia,27-211,1995,3.0,10,3,4,6,0,5,7,71.4,2,2,0,2,7,17,3,0
Emiliano Martínez,GK,Argentina,30-096,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Enner Valencia,FW,Ecuador,33-033,1989,2.8,2,0,0,2,0,0,1,0.0,1,3,0,3,1,3,2,0
Enzo Ebosse,DF,Cameroon,23-271,1999,1.0,4,2,4,0,0,1,1,100.0,0,1,0,1,0,4,5,0
Enzo Fernández,MF,Argentina,21-324,2001,2.6,7,5,6,1,0,3,5,60.0,2,2,0,2,3,10,5,0
Eray Cömert,DF,Switzerland,24-306,1998,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,2,0
Eric Dier,DF,England,28-326,1994,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-259,1989,2.8,4,2,1,3,0,1,2,50.0,1,0,0,0,1,5,1,0
Erick Gutiérrez,MF,Mexico,27-175,1995,0.5,1,1,0,1,0,1,3,33.3,2,0,0,0,2,3,1,0
Ethan Ampadu,MF,Wales,22-084,2000,2.8,4,3,1,3,0,0,1,0.0,1,9,4,5,4,8,10,0
Everton Ribeiro,MF,Brazil,33-241,1989,0.4,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Exequiel Palacios,MF,Argentina,24-063,1998,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Fabian Frei,MF,Switzerland,33-333,1989,0.3,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0
Fabian Rieder,FW,Switzerland,20-294,2002,0.8,3,2,1,1,1,1,2,50.0,1,2,0,2,0,3,1,0
Fabian Schär,DF,Switzerland,30-352,1991,1.5,2,1,1,1,0,1,1,100.0,0,1,1,0,2,4,7,0
Fabinho,MF,Brazil,29-045,1993,1.0,3,2,1,2,0,2,2,100.0,0,0,0,0,1,4,2,0
Facundo Pellistri,MF,Uruguay,20-352,2001,2.0,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,2,0
Famara Diedhiou,FW,Senegal,29-357,1992,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Federico Valverde,MF,Uruguay,24-138,1998,3.0,7,4,3,4,0,5,6,83.3,1,6,0,6,5,12,1,0
Ferjani Sassi,MF,Tunisia,30-264,1992,0.5,2,0,0,2,0,1,1,100.0,0,1,0,1,1,3,0,0
Ferrán Torres,FW,Spain,22-281,2000,2.4,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Filip Kostić,DF,Serbia,30-036,1992,2.0,6,3,2,1,3,2,2,100.0,0,3,0,3,0,6,1,0
Filip Mladenović,DF,Serbia,31-114,1991,0.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0
Filip Đuričić,MF,Serbia,30-311,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Firas Al-Buraikan,MF,Saudi Arabia,22-207,2000,3.0,3,3,2,0,1,2,2,100.0,0,5,2,3,2,5,4,0
Fodé Ballo-Touré,DF,Senegal,25-338,1997,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Fran Karačić,DF,Australia,26-209,1996,1.0,2,1,2,0,0,1,1,100.0,0,2,1,1,2,4,3,0
Francisco Calvo,DF,Costa Rica,30-152,1992,2.0,7,4,6,1,0,4,7,57.1,3,3,1,2,2,9,2,0
Fred,MF,Brazil,29-277,1993,1.4,2,2,0,1,1,0,1,0.0,1,1,1,0,0,2,2,0
Frenkie de Jong,MF,Netherlands,25-209,1997,3.9,12,5,4,5,3,1,2,50.0,1,6,3,3,5,17,3,0
Félix Torres Caicedo,DF,Ecuador,25-330,1997,3.0,2,2,2,0,0,2,3,66.7,1,3,2,1,4,6,10,0
Gabriel Jesus,FW,Brazil,25-248,1997,1.0,2,1,0,1,1,0,0,,0,0,0,0,2,4,0,0
Garang Kuol,FW,Australia,18-083,2004,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Gareth Bale,FW,Wales,33-144,1989,2.5,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,1,0
Gavi,MF,Spain,18-124,2004,3.2,8,4,1,7,0,2,5,40.0,3,3,0,3,1,9,2,0
Gaël Ondoua,MF,Cameroon,27-033,1995,0.5,2,1,0,2,0,1,1,100.0,0,1,0,1,2,4,0,0
Georges-Kévin N'Koudou,FW,Cameroon,27-297,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Germán Pezzella,DF,Argentina,31-163,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Gerson Torres,MF,Costa Rica,25-101,1997,0.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Ghaylène Chaalali,MF,Tunisia,28-282,1994,0.2,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0
Gideon Mensah,DF,Ghana,24-142,1998,1.0,1,1,0,1,0,1,1,100.0,0,1,1,0,2,3,5,0
Gio Reyna,FW,United States,20-024,2002,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Giorgian De Arrascaeta,MF,Uruguay,28-189,1994,1.2,3,1,2,1,0,0,4,0.0,4,1,0,1,2,5,1,0
Gleison Bremer,DF,Brazil,25-264,1997,1.2,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,6,0
Gonzalo Montiel,DF,Argentina,25-340,1997,0.8,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,1,0
Gonzalo Plata,MF,Ecuador,22-036,2000,3.0,3,2,2,1,0,2,8,25.0,6,3,0,3,2,5,0,0
Gonçalo Ramos,FW,Portugal,21-170,2001,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Granit Xhaka,MF,Switzerland,30-071,1992,4.0,6,4,1,5,0,4,6,66.7,2,3,2,1,2,8,7,0
Gregor Kobel,GK,Switzerland,25-001,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Grzegorz Krychowiak,MF,Poland,32-312,1990,3.7,9,4,2,5,2,1,7,14.3,6,5,3,2,5,14,4,0
Guido Rodríguez,MF,Argentina,28-239,1994,0.6,2,0,1,1,0,2,2,100.0,0,1,1,0,0,2,1,0
Guillermo Ochoa,GK,Mexico,37-147,1985,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Guillermo Varela,DF,Uruguay,29-258,1993,2.0,3,2,2,1,0,3,4,75.0,1,1,0,1,3,6,1,0
Haji Wright,FW,United States,24-255,1998,1.5,2,0,1,1,0,2,2,100.0,0,0,0,0,0,2,1,0
Hakim Ziyech,FW,Morocco,29-263,1993,4.2,8,5,3,4,1,3,8,37.5,5,8,0,8,5,13,3,1
Hannibal Mejbri,MF,Tunisia,19-320,2003,0.1,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0
Haris Seferović,FW,Switzerland,30-288,1992,0.8,0,0,0,0,0,0,0,,0,2,2,0,0,0,0,0
Harry Kane,FW,England,29-132,1993,3.5,2,1,1,1,0,1,1,100.0,0,2,1,1,0,2,2,0
Harry Maguire,DF,England,29-277,1993,3.8,6,3,4,2,0,1,2,50.0,1,4,3,1,3,9,14,0
Harry Souttar,DF,Australia,24-046,1998,4.0,4,0,3,1,0,2,3,66.7,1,7,4,3,6,10,22,0
Harry Wilson,MF,Wales,25-260,1997,1.8,4,2,1,3,0,1,1,100.0,0,1,0,1,1,5,3,0
Hassan Al Tambakti,DF,Saudi Arabia,23-301,1999,2.0,4,2,3,1,0,3,5,60.0,2,3,2,1,3,7,6,0
Hassan Al-Haydos,MF,Qatar,31-361,1990,2.3,4,1,2,2,0,2,8,25.0,6,0,0,0,2,6,1,0
